"Author_id","Isbn"
9279,"1588720284"
12842,"1564265536"
2236,"0671026801"
5534,"0964374099"
13319,"0446896268"
12857,"0070371628"
3965,"0679436154"
3965,"0446670111"
3965,"3453092414"
12063,"345504431X"
4342,"0316181358"
248,"1563898586"
246,"1401201172"
1945,"0020532105"
1945,"0743262174"
1945,"0684718634"
13155,"0684718669"
3972,"037328019X"
647,"1841952931"
647,"1841950521"
3725,"0671015850"
3725,"0340765429"
3725,"0671037382"
3725,"0671037390"
3725,"0671015842"
9880,"155972126X"
10970,"0345336712"
4002,"0786711256"
7590,"0394719999"
7586,"0679723005"
13468,"0333185153"
2609,"3453088530"
7188,"0968454402"
3202,"3629002013"
1215,"0679720227"
1215,"2070360024"
1215,"0140180206"
1215,"2070360423"
1215,"0679764003"
1215,"2070360784"
3957,"0679720200"
12836,"0679720219"
11924,"2070371700"
6330,"0517025302"
12026,"3548346839"
13205,"0671201565"
6879,"325770044X"
8054,"0879800429"
9218,"0688047211"
12993,"0451163095"
3455,"030680395X"
13580,"0140364749"
3327,"1418447293"
7029,"0752847732"
12589,"0345345053"
13157,"019505928X"
1209,"0060809833"
1209,"0060929871"
1209,"0060900075"
1209,"0060901918"
1209,"2266128566"
1209,"006080985X"
4951,"3596200261"
1511,"0060901012"
7469,"0001047973"
5785,"0070212147"
7189,"1550135457"
7357,"9747315084"
13493,"044017399X"
4675,"0877283478"
4675,"0913866156"
4675,"0877286868"
10245,"0877282684"
8461,"9500286327"
8460,"958949479X"
9648,"3518393421"
4148,"3518373080"
11507,"0060139145"
4360,"0374521956"
62,"0394743741"
3479,"0740735756"
1610,"2070419657"
1610,"2070419878"
1610,"2070419584"
11727,"1860462588"
11727,"186046310X"
4227,"1586481614"
2673,"0525946780"
3421,"3701712417"
7266,"1558003592"
1531,"0091880955"
3642,"0064472574"
3034,"1573220485"
3034,"1573227749"
3034,"1573226521"
2483,"3442442354"
5742,"3442449898"
5296,"0385260431"
5296,"0440174643"
5296,"0517162695"
3964,"1551669153"
3964,"1551668246"
3964,"1551669285"
3964,"1551667010"
5793,"0712610847"
4628,"0864423705"
7662,"031219904X"
7662,"0306811677"
3784,"0385265565"
3784,"038547721X"
11575,"1890768030"
5197,"0140272852"
5358,"0060965118"
10070,"0449006581"
10070,"0375503315"
4689,"3462030426"
6665,"1902825969"
10986,"0964303558"
208,"140003180X"
1067,"1400031362"
1067,"1400031346"
1067,"1400034779"
1067,"1400031354"
1067,"037542217X"
7096,"3485008702"
12037,"3499122146"
9599,"0553100793"
13484,"0140071229"
9593,"0374106843"
12418,"0451527097"
7922,"0802139779"
11673,"0515116386"
577,"2266029460"
3532,"0330412302"
3532,"0375507507"
10048,"0802138578"
11168,"0913589721"
9695,"0312046448"
6183,"0446360015"
6183,"0446515078"
4616,"0671779664"
8798,"0373763794"
8798,"0373764170"
10850,"0380714647"
3622,"0380716259"
9876,"0316120863"
1128,"1853267333"
1128,"0451197003"
1128,"0553213504"
1128,"1587156865"
2581,"1853260401"
2550,"0553213377"
8822,"0140367470"
5295,"2070401685"
8593,"0446363251"
9258,"0671440683"
6275,"0340818689"
13759,"0451195167"
12796,"0312146310"
438,"0395710901"
4681,"0671820478"
4681,"0671039016"
4681,"3453164180"
4681,"0679767819"
11716,"225303987X"
11965,"2070372391"
833,"0393961192"
12185,"0394859111"
12487,"0075536226"
11954,"2842050525"
5972,"3852182751"
5972,"3852183219"
6675,"078670621X"
12872,"0451524705"
1280,"0879739304"
10777,"0688021174"
12295,"0671874594"
13722,"9681905628"
13722,"9584204106"
7754,"1840225106"
4437,"0385722109"
4437,"0241141095"
3760,"0853301239"
1288,"0140064834"
1288,"0449207463"
4304,"0786846461"
10546,"0440486971"
3245,"0553111531"
3943,"0345423615"
3943,"0345423607"
3943,"0345423631"
3943,"0345423623"
3943,"0345444000"
3943,"0345423658"
3943,"0345444019"
3936,"0451191889"
3936,"0451403967"
5725,"0743234979"
5725,"0684870053"
11974,"2742728759"
11974,"2742713352"
2051,"0964894203"
1455,"0028606353"
1355,"1576738590"
1355,"0913367176"
13547,"0679856927"
534,"0399145079"
534,"0425179672"
534,"0425174344"
534,"0425161633"
534,"0425184757"
534,"0425168468"
534,"0439443857"
534,"0425170500"
534,"0425117383"
534,"0385507607"
534,"0425168700"
534,"0449210235"
534,"0399139087"
534,"0399132821"
534,"0425167313"
534,"042513699X"
534,"0345455916"
534,"0425161285"
534,"0425184943"
534,"0425169693"
7670,"0837850681"
2578,"0226424197"
8203,"0030597862"
1846,"0679770232"
3765,"1410798860"
6018,"0688177867"
6018,"0688168248"
752,"038533334X"
752,"0385333293"
752,"0374121230"
752,"006097141X"
752,"0440215234"
752,"0385319851"
3299,"0452011116"
3299,"0374232415"
3299,"3518374508"
1993,"0452261848"
1993,"0375727434"
1993,"0679755624"
12611,"0044409575"
3912,"0140587640"
3499,"061810450X"
12970,"0684811138"
9514,"0553206036"
341,"0316096199"
341,"0316168815"
341,"0684857820"
341,"0316666343"
4554,"0375758453"
10085,"0006548180"
9758,"1557093334"
6886,"3404161696"
840,"015644450X"
840,"0671789422"
840,"0671727796"
840,"0671668781"
840,"0156997789"
840,"0671683993"
